Locus,Allele,Frequency
D2S1776,7,0.0015 
D2S1776,8,0.0025 
D2S1776,9,0.1347 
D2S1776,10,0.0649 
D2S1776,10.1,0.0004 
D2S1776,10.2,0.0001 
D2S1776,11,0.2821 
D2S1776,11.1,0.0005 
D2S1776,12,0.3749 
D2S1776,12.1,0.0003 
D2S1776,12.3,0.0001 
D2S1776,13,0.1065 
D2S1776,14,0.0284 
D2S1776,15,0.0032 
PentaE,5,0.0513 
PentaE,6,0.0001 
PentaE,7,0.0032 
PentaE,8,0.0059 
PentaE,9,0.0080 
PentaE,10,0.0455 
PentaE,11,0.1495 
PentaE,12,0.1109 
PentaE,13,0.0518 
PentaE,13.2,0.0001 
PentaE,14,0.0829 
PentaE,14.2,0.0001 
PentaE,15,0.0965 
PentaE,15.2,0.0001 
PentaE,15.4,0.0001 
PentaE,16,0.0796 
PentaE,16.1,0.0001 
PentaE,16.4,0.0001 
PentaE,17,0.0791 
PentaE,17.4,0.0004 
PentaE,18,0.0760 
PentaE,18.3,0.0001 
PentaE,18.4,0.0014 
PentaE,19,0.0548 
PentaE,19.1,0.0001 
PentaE,19.4,0.0011 
PentaE,20,0.0447 
PentaE,21,0.0250 
PentaE,22,0.0168 
PentaE,23,0.0083 
PentaE,24,0.0039 
PentaE,25,0.0017 
PentaE,26,0.0007 
PentaE,27,0.0002 
PentaE,28,0.0002 
TPOX,5,0.0002 
TPOX,6,0.0001 
TPOX,7,0.0004 
TPOX,8,0.5211 
TPOX,9,0.1221 
TPOX,10,0.0254 
TPOX,10.3,0.0001 
TPOX,11,0.3041 
TPOX,12,0.0253 
TPOX,13,0.0010 
TPOX,14,0.0001 
TPOX,16,0.0001 
D3S1358,12,0.0005 
D3S1358,13,0.0016 
D3S1358,14,0.0379 
D3S1358,15,0.3493 
D3S1358,16,0.3288 
D3S1358,17,0.2124 
D3S1358,18,0.0631 
D3S1358,19,0.0057 
D3S1358,20,0.0004 
D3S1358,21,0.0001 
D2S1338,16,0.0123 
D2S1338,17,0.0643 
D2S1338,18,0.1132 
D2S1338,19,0.1801 
D2S1338,20,0.1220 
D2S1338,21,0.0274 
D2S1338,22,0.0452 
D2S1338,23,0.2076 
D2S1338,24,0.1527 
D2S1338,25,0.0625 
D2S1338,26,0.0106 
D2S1338,27,0.0014 
D2S1338,28,0.0006 
D2S1338,29,0.0001 
D1S1627,10,0.0461 
D1S1627,11,0.0039 
D1S1627,12,0.1106 
D1S1627,13,0.5531 
D1S1627,14,0.2718 
D1S1627,15,0.0133 
D1S1627,16,0.0012 
D1S1627,17,0.0001 
D1S1677,9,0.0002 
D1S1677,10,0.0022 
D1S1677,11,0.0023 
D1S1677,12,0.0208 
D1S1677,13,0.1082 
D1S1677,13.3,0.0001 
D1S1677,14,0.4824 
D1S1677,15,0.3146 
D1S1677,16,0.0589 
D1S1677,17,0.0095 
D1S1677,18,0.0007 
D1S1677,19,0.0001 
D16S539,6,0.0002 
D16S539,8,0.0086 
D16S539,9,0.2776 
D16S539,10,0.1197 
D16S539,11,0.2583 
D16S539,12,0.2162 
D16S539,13,0.1045 
D16S539,14,0.0139 
D16S539,15,0.0009 
D16S539,16,0.0001 
TH01,4,0.0001 
TH01,5,0.0002 
TH01,6,0.0983 
TH01,6.2,0.0001 
TH01,6.3,0.0001 
TH01,7,0.2757 
TH01,8,0.0547 
TH01,8.3,0.0002 
TH01,9,0.5000 
TH01,9.3,0.0404 
TH01,10,0.0298 
TH01,10.3,0.0001 
TH01,11,0.0005 
TH01,12,0.0001 
D1GATA113,7,0.4960 
D1GATA113,8,0.0050 
D1GATA113,9,0.0002 
D1GATA113,10,0.0019 
D1GATA113,11,0.1478 
D1GATA113,12,0.3113 
D1GATA113,13,0.0377 
D1GATA113,14,0.0001 
D6S474,11,0.0003 
D6S474,12,0.0002 
D6S474,12.1,0.0001 
D6S474,13,0.0009 
D6S474,13.3,0.0001 
D6S474,14,0.3461 
D6S474,15,0.3655 
D6S474,16,0.1442 
D6S474,17,0.1083 
D6S474,18,0.0322 
D6S474,19,0.0020 
D6S474,20,0.0001 
D5S818,7,0.0230 
D5S818,8,0.0027 
D5S818,9,0.0747 
D5S818,10,0.1883 
D5S818,11,0.3213 
D5S818,12,0.2379 
D5S818,13,0.1418 
D5S818,14,0.0088 
D5S818,15,0.0013 
D5S818,16,0.0001 
D9S1122,8,0.0005 
D9S1122,9,0.0017 
D9S1122,10,0.0588 
D9S1122,11,0.1622 
D9S1122,12,0.3217 
D9S1122,12.3,0.0001 
D9S1122,13,0.3783 
D9S1122,13.3,0.0001 
D9S1122,14,0.0626 
D9S1122,14.3,0.0001 
D9S1122,15,0.0108 
D9S1122,16,0.0027 
D9S1122,17,0.0004 
D3S4529,11,0.0002 
D3S4529,12,0.0021 
D3S4529,13,0.2097 
D3S4529,14,0.2400 
D3S4529,15,0.3543 
D3S4529,16,0.1577 
D3S4529,17,0.0349 
D3S4529,18,0.0009 
D3S4529,19,0.0001 
D12ATA63,10,0.0003 
D12ATA63,11,0.0004 
D12ATA63,12,0.3445 
D12ATA63,13,0.0061 
D12ATA63,14,0.0356 
D12ATA63,15,0.0082 
D12ATA63,16,0.2062 
D12ATA63,17,0.3020 
D12ATA63,18,0.0830 
D12ATA63,19,0.0112 
D12ATA63,20,0.0024 
D12ATA63,21,0.0001 
D4S2408,6,0.0001 
D4S2408,7,0.0007 
D4S2408,8,0.1979 
D4S2408,9,0.3058 
D4S2408,9.2,0.0001 
D4S2408,10,0.3271 
D4S2408,11,0.1410 
D4S2408,12,0.0266 
D4S2408,12.3,0.0001 
D4S2408,13,0.0006 
D22S1045,10,0.0002 
D22S1045,11,0.2240 
D22S1045,12,0.0046 
D22S1045,13,0.0049 
D22S1045,14,0.0184 
D22S1045,14.1,0.0001 
D22S1045,15,0.2881 
D22S1045,16,0.2398 
D22S1045,17,0.1938 
D22S1045,18,0.0243 
D22S1045,19,0.0018 
D22S1045,20,0.0002 
D14S1434,9,0.0002 
D14S1434,10,0.0832 
D14S1434,11,0.1580 
D14S1434,12,0.0235 
D14S1434,13,0.2777 
D14S1434,14,0.4325 
D14S1434,15,0.0214 
D14S1434,16,0.0030 
D14S1434,17,0.0005 
D14S1434,18,0.0001 
CSF1PO,7,0.0031 
CSF1PO,8,0.0018 
CSF1PO,9,0.0479 
CSF1PO,10,0.2309 
CSF1PO,10.1,0.0001 
CSF1PO,10.2,0.0001 
CSF1PO,11,0.2422 
CSF1PO,12,0.3834 
CSF1PO,13,0.0758 
CSF1PO,13.2,0.0001 
CSF1PO,14,0.0130 
CSF1PO,15,0.0017 
CSF1PO,16,0.0001 
D18S853,9,0.0004 
D18S853,10,0.0185 
D18S853,11,0.4109 
D18S853,12,0.0538 
D18S853,13,0.2284 
D18S853,14,0.2236 
D18S853,15,0.0626 
D18S853,16,0.0016 
D18S853,17.2,0.0001 
D18S853,18,0.0001 
D10S1435,3.1,0.0001 
D10S1435,5,0.0001 
D10S1435,6,0.0003 
D10S1435,7,0.0005 
D10S1435,7.3,0.0001 
D10S1435,8,0.0270 
D10S1435,9,0.0022 
D10S1435,10,0.0375 
D10S1435,10.3,0.0011 
D10S1435,11,0.1551 
D10S1435,11.3,0.0003 
D10S1435,12,0.3696 
D10S1435,12.1,0.0002 
D10S1435,12.2,0.0001 
D10S1435,13,0.2519 
D10S1435,13.3,0.0001 
D10S1435,14,0.1349 
D10S1435,14.2,0.0001 
D10S1435,14.3,0.0002 
D10S1435,15,0.0158 
D10S1435,15.2,0.0001 
D10S1435,16,0.0028 
D10S1435,17,0.0001 
D8S1179,8,0.0014 
D8S1179,9,0.0005 
D8S1179,10,0.1177 
D8S1179,11,0.0949 
D8S1179,12,0.1247 
D8S1179,13,0.2167 
D8S1179,14,0.1813 
D8S1179,15,0.1740 
D8S1179,15.1,0.0001 
D8S1179,16,0.0720 
D8S1179,17,0.0140 
D8S1179,18,0.0025 
D8S1179,19,0.0001 
D7S820,6,0.0001 
D7S820,7,0.0019 
D7S820,7.1,0.0001 
D7S820,7.3,0.0001 
D7S820,8,0.1427 
D7S820,9,0.0620 
D7S820,9.1,0.0034 
D7S820,9.2,0.0003 
D7S820,10,0.1624 
D7S820,10.1,0.0009 
D7S820,10.3,0.0001 
D7S820,11,0.3480 
D7S820,11.1,0.0003 
D7S820,12,0.2376 
D7S820,13,0.0358 
D7S820,13.1,0.0001 
D7S820,14,0.0042 
D7S820,15,0.0001 
PentaD,5,0.0001 
PentaD,6,0.0031 
PentaD,7,0.0081 
PentaD,7.2,0.0001 
PentaD,8,0.0504 
PentaD,9,0.3223 
PentaD,10,0.1260 
PentaD,11,0.1479 
PentaD,11.2,0.0001 
PentaD,12,0.1730 
PentaD,13,0.1209 
PentaD,14,0.0384 
PentaD,15,0.0087 
PentaD,16,0.0011 
PentaD,17,0.0002 
D13S317,5,0.0001 
D13S317,6,0.0003 
D13S317,7,0.0021 
D13S317,8,0.2776 
D13S317,9,0.1365 
D13S317,10,0.1445 
D13S317,11,0.2408 
D13S317,12,0.1523 
D13S317,13,0.0358 
D13S317,14,0.0095 
D13S317,15,0.0004 
D6S1017,7,0.0004 
D6S1017,8,0.1903 
D6S1017,9,0.0023 
D6S1017,10,0.4111 
D6S1017,11,0.0307 
D6S1017,12,0.2714 
D6S1017,13,0.0864 
D6S1017,14,0.0060 
D6S1017,15,0.0014 
D6S1043,7,0.0002 
D6S1043,8,0.0004 
