individual_1,individual_2,PIC_0.1h,PIC_0.2h,PIC_0.3h,PIC_0.4h,PIC_0.5h,PIC_1h,PIC_2h,PIC_3h,PIC_4h,PIC_5h
C,F,687.5853746896988,34860.94259611844,30976343.100807436,1372513603.726558,5106077394.816065,5528451055.452646,5528451055.452646,5528451055.452646,5528451055.452646,5528451055.452646
C,M,49.60625698398536,1827.0464130908404,41823.59573277196,1404717.0424385741,1404717.0424385741,1447803679.9540052,1447803679.9540052,1447803679.9540052,1447803679.9540052,1447803679.9540052
C,GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2800M,2.5432349949135302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,9948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,C,687.5853746896988,34860.94259611844,30976343.100807436,1372513603.726558,5106077394.816065,5528451055.452646,5528451055.452646,5528451055.452646,5528451055.452646,5528451055.452646
F,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,2800M,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,9948,16.028236099653636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,C,49.60625698398536,1827.0464130908404,41823.59573277196,1404717.0424385741,1404717.0424385741,1447803679.9540052,1447803679.9540052,1447803679.9540052,1447803679.9540052,1447803679.9540052
M,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,GM,179.91653015231418,18131.92115425365,101652.92201425282,3660349.951903385,19104122.922251485,6017279073.248723,6017279073.248723,6017279073.248723,6017279073.248723,6017279073.248723
M,2800M,3.0432349949135302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,9948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,M,179.91653015231418,18131.92115425365,101652.92201425282,3660349.951903385,19104122.922251485,6017279073.248723,6017279073.248723,6017279073.248723,6017279073.248723,6017279073.248723
GM,2800M,2.5432349949135302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,9948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800M,C,2.5432349949135302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800M,F,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800M,M,3.0432349949135302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800M,GM,2.5432349949135302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800M,9948,3.0432349949135302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9948,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9948,F,16.028236099653636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9948,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9948,GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9948,2800M,3.0432349949135302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
